WavLow(micr), WavUpp(micr), WavC(micr), BinnedNoise(ppm), Npix
2.392587434234240362e+00 2.407260319032713092e+00 2.399923876633476727e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.407260319032713092e+00 2.421933203831185377e+00 2.414596761431949012e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.421933203831185377e+00 2.436606088629657663e+00 2.429269646230421742e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.436606088629657663e+00 2.454947194627748353e+00 2.443942531028894027e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.454947194627748353e+00 2.473288300625839042e+00 2.465951858226602678e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.473288300625839042e+00 2.487961185424311772e+00 2.480624743025075407e+00 1.000000000000000000e+01 1.000000000000000000e+00
2.487961185424311772e+00 2.502634070222784057e+00 2.495297627823547693e+00 1.021886392156372381e+01 1.000000000000000000e+00
2.502634070222784057e+00 2.517306955021256343e+00 2.509970512622020422e+00 1.062096300243631219e+01 1.000000000000000000e+00
2.517306955021256343e+00 2.531979839819729072e+00 2.524643397420492708e+00 1.086791899296514430e+01 1.000000000000000000e+00
2.531979839819729072e+00 2.550320945817819762e+00 2.539316282218965437e+00 1.094714383009909753e+01 1.000000000000000000e+00
2.550320945817819762e+00 2.568662051815910452e+00 2.561325609416674087e+00 1.097550822322989994e+01 1.000000000000000000e+00
2.568662051815910452e+00 2.583334936614383182e+00 2.575998494215146817e+00 1.089480657150708431e+01 1.000000000000000000e+00
2.583334936614383182e+00 2.598007821412855467e+00 2.590671379013619102e+00 1.076486538042558294e+01 1.000000000000000000e+00
2.598007821412855467e+00 2.612680706211327752e+00 2.605344263812091832e+00 1.067320718457320083e+01 1.000000000000000000e+00
2.612680706211327752e+00 2.627353591009800482e+00 2.620017148610564117e+00 1.060184027864302081e+01 1.000000000000000000e+00
2.627353591009800482e+00 2.642026475808273211e+00 2.634690033409036847e+00 1.059851665545476607e+01 1.000000000000000000e+00
2.642026475808273211e+00 2.656699360606745497e+00 2.649362918207509132e+00 1.075121824617385435e+01 1.000000000000000000e+00
2.656699360606745497e+00 2.671372245405217782e+00 2.664035803005981862e+00 1.100350394605520066e+01 1.000000000000000000e+00
2.671372245405217782e+00 2.686045130203690512e+00 2.678708687804454147e+00 1.115308238714415801e+01 1.000000000000000000e+00
2.686045130203690512e+00 2.700718015002163241e+00 2.693381572602926877e+00 1.116315587961577371e+01 1.000000000000000000e+00
2.700718015002163241e+00 2.715390899800635527e+00 2.708054457401399162e+00 1.119315705143119999e+01 1.000000000000000000e+00
2.715390899800635527e+00 2.730063784599107812e+00 2.722727342199871892e+00 1.125813299323058381e+01 1.000000000000000000e+00
2.730063784599107812e+00 2.744736669397580542e+00 2.737400226998344177e+00 1.130298976406734468e+01 1.000000000000000000e+00
2.744736669397580542e+00 2.759409554196053271e+00 2.752073111796816907e+00 1.135383657148740610e+01 1.000000000000000000e+00
2.759409554196053271e+00 2.774082438994525557e+00 2.766745996595289192e+00 1.143559618102482922e+01 1.000000000000000000e+00
2.774082438994525557e+00 2.788755323792997842e+00 2.781418881393761922e+00 1.153991983804792554e+01 1.000000000000000000e+00
2.788755323792997842e+00 2.803428208591470572e+00 2.796091766192234207e+00 1.166781782749709251e+01 1.000000000000000000e+00
2.803428208591470572e+00 2.818101093389943301e+00 2.810764650990706937e+00 1.181710091916693273e+01 1.000000000000000000e+00
2.818101093389943301e+00 2.832773978188415587e+00 2.825437535789179222e+00 1.196109290537514092e+01 1.000000000000000000e+00
2.832773978188415587e+00 2.847446862986887872e+00 2.840110420587651952e+00 1.209147587368991417e+01 1.000000000000000000e+00
2.847446862986887872e+00 2.862119747785360602e+00 2.854783305386124237e+00 1.220829682049540921e+01 1.000000000000000000e+00
2.862119747785360602e+00 2.876792632583833331e+00 2.869456190184596966e+00 1.230822752088811178e+01 1.000000000000000000e+00
2.876792632583833331e+00 2.891465517382305617e+00 2.884129074983069252e+00 1.241131790766182164e+01 1.000000000000000000e+00
2.891465517382305617e+00 2.906138402180777902e+00 2.898801959781541981e+00 1.251660828571229622e+01 1.000000000000000000e+00
2.906138402180777902e+00 2.917143065779632671e+00 2.913474844580014267e+00 1.261894663775230008e+01 1.000000000000000000e+00
2.917143065779632671e+00 2.928147729378486552e+00 2.920811286979250632e+00 1.273574733619233612e+01 1.000000000000000000e+00
2.928147729378486552e+00 2.942820614176959282e+00 2.935484171777722917e+00 1.284533290681192064e+01 1.000000000000000000e+00
2.942820614176959282e+00 2.957493498975432011e+00 2.950157056576195647e+00 1.293523148322714533e+01 1.000000000000000000e+00
2.957493498975432011e+00 2.972166383773904741e+00 2.964829941374668376e+00 1.302787040534133034e+01 1.000000000000000000e+00
2.972166383773904741e+00 2.986839268572376582e+00 2.979502826173140662e+00 1.313728509731046046e+01 1.000000000000000000e+00
2.986839268572376582e+00 3.001512153370849312e+00 2.994175710971612947e+00 1.325406883835954908e+01 1.000000000000000000e+00
3.001512153370849312e+00 3.012516816969704081e+00 3.008848595770085677e+00 1.335648774619670931e+01 1.000000000000000000e+00
3.012516816969704081e+00 3.023521480568557962e+00 3.016185038169322041e+00 1.345457788219442818e+01 1.000000000000000000e+00
3.023521480568557962e+00 3.038194365367030692e+00 3.030857922967794327e+00 1.356067808299032684e+01 1.000000000000000000e+00
3.038194365367030692e+00 3.052867250165503421e+00 3.045530807766267056e+00 1.366330684139170870e+01 1.000000000000000000e+00
3.052867250165503421e+00 3.067540134963975706e+00 3.060203692564739342e+00 1.375382542148546605e+01 1.000000000000000000e+00
3.067540134963975706e+00 3.078544798562830032e+00 3.074876577363212071e+00 1.384971896890634824e+01 1.000000000000000000e+00
3.078544798562830032e+00 3.089549462161684801e+00 3.082213019762448436e+00 1.396400356892668526e+01 1.000000000000000000e+00
3.089549462161684801e+00 3.104222346960156642e+00 3.096885904560920721e+00 1.408435271232294994e+01 1.000000000000000000e+00
3.104222346960156642e+00 3.118895231758629372e+00 3.111558789359393007e+00 1.419997271774013470e+01 1.000000000000000000e+00
3.118895231758629372e+00 3.133568116557102101e+00 3.126231674157865736e+00 1.429981441657642982e+01 1.000000000000000000e+00
3.133568116557102101e+00 3.144572780155956426e+00 3.140904558956338466e+00 1.439233099728960497e+01 1.000000000000000000e+00
3.144572780155956426e+00 3.155577443754810751e+00 3.148241001355574387e+00 1.449022423566835904e+01 1.000000000000000000e+00
3.155577443754810751e+00 3.170250328553283481e+00 3.162913886154047116e+00 1.459747776552056386e+01 1.000000000000000000e+00
3.170250328553283481e+00 3.181254992152137362e+00 3.177586770952519402e+00 1.471609220839951426e+01 1.000000000000000000e+00
3.181254992152137362e+00 3.192259655750992131e+00 3.184923213351755766e+00 1.485744887718783858e+01 1.000000000000000000e+00
3.192259655750992131e+00 3.206932540549464861e+00 3.199596098150228496e+00 1.503612952186234786e+01 1.000000000000000000e+00
3.206932540549464861e+00 3.221605425347936702e+00 3.214268982948700781e+00 1.521092384836879496e+01 1.000000000000000000e+00
3.221605425347936702e+00 3.232610088946791471e+00 3.228941867747173067e+00 1.527637179133278877e+01 1.000000000000000000e+00
3.232610088946791471e+00 3.243614752545645796e+00 3.236278310146409432e+00 1.532041488385355166e+01 1.000000000000000000e+00
3.243614752545645796e+00 3.258287637344118082e+00 3.250951194944882161e+00 1.538932858504350953e+01 1.000000000000000000e+00
3.258287637344118082e+00 3.269292300942972851e+00 3.265624079743354446e+00 1.548465741061852619e+01 1.000000000000000000e+00
3.269292300942972851e+00 3.280296964541826732e+00 3.272960522142590811e+00 1.559707229360218861e+01 1.000000000000000000e+00
3.280296964541826732e+00 3.294969849340299461e+00 3.287633406941063097e+00 1.572636683610108577e+01 1.000000000000000000e+00
3.294969849340299461e+00 3.305974512939154231e+00 3.302306291739535826e+00 1.588669495074616300e+01 1.000000000000000000e+00
3.305974512939154231e+00 3.316979176538008112e+00 3.309642734138772191e+00 1.604552134165742672e+01 1.000000000000000000e+00
3.316979176538008112e+00 3.331652061336480841e+00 3.324315618937244476e+00 1.614903539935207277e+01 1.000000000000000000e+00
3.331652061336480841e+00 3.342656724935335166e+00 3.338988503735717206e+00 1.623797485588072931e+01 1.000000000000000000e+00
3.342656724935335166e+00 3.353661388534189491e+00 3.346324946134953127e+00 1.634299582934544048e+01 1.000000000000000000e+00
3.353661388534189491e+00 3.368334273332662221e+00 3.360997830933425856e+00 1.647409418819490412e+01 1.000000000000000000e+00
3.368334273332662221e+00 3.379338936931516546e+00 3.375670715731898586e+00 1.661643557083323586e+01 1.000000000000000000e+00
3.379338936931516546e+00 3.390343600530370871e+00 3.383007158131134506e+00 1.679752239317111417e+01 1.000000000000000000e+00
3.390343600530370871e+00 3.405016485328843601e+00 3.397680042929607236e+00 1.703634765476985891e+01 1.000000000000000000e+00
3.405016485328843601e+00 3.416021148927697482e+00 3.412352927728079521e+00 1.727195099084761765e+01 1.000000000000000000e+00
3.416021148927697482e+00 3.427025812526552251e+00 3.419689370127315886e+00 1.740324102105025972e+01 1.000000000000000000e+00
